ts,date,underlying,side,strike,expiry,dte,grade,comparable_score,opportunity_score,threshold,eligible,decision,direction,trade_quality,market_hostility,iv_crush,convexity,execution,confidence,regime_fit,premium_elasticity,expected_move,required_move,exp_req_ratio,bid,ask,mid,spread_pct,reasons
2026-08-13T11:21:24.829789+05:30,2026-08-13,NIFTY,CE,24300.0,2026-08-18,5,Reject,50.95,50.95,80.0,False,NO_EXCELLENT_CANDIDATE,0.0,0.4,18.8,24.0,78.3,100.0,71.6,95.0,0.5,178.3,133.7,1.33,146.4,146.65,146.53,0.17,
2026-08-13T11:21:24.829789+05:30,2026-08-13,BANKNIFTY,CE,57500.0,2026-08-25,12,Reject,57.33,57.33,80.0,False,NO_EXCELLENT_CANDIDATE,-2.7,32.0,19.2,22.5,76.0,100.0,80.7,75.0,0.7,875.3,617.8,1.42,653.85,654.4,654.12,0.08,
2026-08-13T11:21:24.829789+05:30,2026-08-13,MIDCPNIFTY,CE,15000.0,2026-08-25,12,Reject,60.31,60.31,80.0,False,NO_TRADE,-9.0,40.5,20.8,22.5,76.5,100.0,82.3,70.0,0.5,175.1,161.6,1.08,140.05,140.5,140.28,0.32,Expected/Required hard reject
2026-08-13T11:21:24.829789+05:30,2026-08-13,MIDCPNIFTY,PE,15000.0,2026-08-25,12,Reject,60.58,60.58,80.0,False,NO_TRADE,9.0,40.5,20.8,22.5,76.5,100.0,85.0,70.0,0.5,175.1,161.6,1.08,128.8,129.4,129.1,0.46,Expected/Required hard reject
2026-08-13T11:21:24.829789+05:30,2026-08-13,MIDCPNIFTY,CE,15025.0,2026-08-25,12,Reject,56.56,56.56,80.0,False,CONTRACT_INVALID,-9.0,40.5,20.8,22.5,60.5,100.0,82.3,70.0,0.3,175.1,161.6,1.08,126.3,127.05,126.67,0.59,Contract invalid: ; PremiumElasticity hard reject; Expected/Required hard reject
2026-08-13T11:22:32.755376+05:30,2026-08-13,NIFTY,CE,24300.0,2026-08-18,5,Reject,54.1,54.1,80.0,False,NO_EXCELLENT_CANDIDATE,0.8,11.2,18.8,24.0,78.3,100.0,75.0,95.0,0.5,178.3,133.7,1.33,147.65,147.95,147.8,0.2,
2026-08-13T11:22:32.755376+05:30,2026-08-13,BANKNIFTY,CE,57500.0,2026-08-25,12,Reject,54.95,54.95,80.0,False,NO_EXCELLENT_CANDIDATE,-2.5,23.6,19.7,22.5,76.0,100.0,78.2,75.0,0.7,873.9,616.9,1.42,658.5,658.9,658.7,0.06,
2026-08-13T11:22:32.755376+05:30,2026-08-13,MIDCPNIFTY,CE,15000.0,2026-08-25,12,Reject,55.61,55.61,80.0,False,NO_TRADE,-5.7,25.4,20.8,22.5,76.5,100.0,78.3,70.0,0.5,174.5,161.1,1.08,140.85,141.6,141.22,0.53,Expected/Required hard reject
2026-08-13T11:22:32.755376+05:30,2026-08-13,MIDCPNIFTY,PE,15000.0,2026-08-25,12,Reject,55.78,55.78,80.0,False,NO_TRADE,5.7,25.4,20.8,22.5,76.5,100.0,80.0,70.0,0.5,174.5,161.1,1.08,127.0,127.6,127.3,0.47,Expected/Required hard reject
2026-08-13T11:23:39.352532+05:30,2026-08-13,NIFTY,CE,24300.0,2026-08-18,5,C,60.59,60.59,80.0,False,NO_EXCELLENT_CANDIDATE,3.4,35.2,18.8,24.0,76.8,100.0,82.6,95.0,0.7,171.6,128.7,1.33,149.95,150.3,150.12,0.23,
2026-08-13T11:23:39.352532+05:30,2026-08-13,NIFTY,PE,24400.0,2026-08-18,5,C,60.49,60.49,80.0,False,NO_EXCELLENT_CANDIDATE,-3.4,35.2,18.8,24.0,76.8,100.0,81.5,95.0,0.7,171.6,128.7,1.33,118.2,118.45,118.33,0.21,
2026-08-13T11:23:39.352532+05:30,2026-08-13,BANKNIFTY,PE,57700.0,2026-08-25,12,Reject,50.73,50.73,80.0,False,NO_EXCELLENT_CANDIDATE,-1.2,9.2,19.8,22.5,76.0,100.0,74.1,75.0,0.7,873.4,616.5,1.42,467.15,467.75,467.45,0.13,
2026-08-13T11:23:39.352532+05:30,2026-08-13,MIDCPNIFTY,PE,15000.0,2026-08-25,12,Reject,52.34,52.34,80.0,False,NO_TRADE,2.8,14.8,20.8,22.5,76.5,100.0,76.3,70.0,0.5,174.4,161.0,1.08,126.95,127.6,127.28,0.51,Expected/Required hard reject
2026-08-13T11:24:40.712943+05:30,2026-08-13,NIFTY,CE,24300.0,2026-08-18,5,Reject,54.34,54.34,80.0,False,NO_EXCELLENT_CANDIDATE,1.3,14.1,18.8,24.0,76.8,100.0,75.9,95.0,0.7,171.4,128.5,1.33,148.0,148.3,148.15,0.2,
2026-08-13T11:24:40.712943+05:30,2026-08-13,NIFTY,CE,24400.0,2026-08-18,5,Reject,51.24,51.24,80.0,False,CONTRACT_INVALID,1.3,14.1,18.8,24.0,62.3,100.0,75.9,95.0,0.3,171.4,128.5,1.33,93.4,93.65,93.53,0.27,Contract invalid: ; PremiumElasticity hard reject
2026-08-13T11:24:40.712943+05:30,2026-08-13,BANKNIFTY,CE,57500.0,2026-08-25,12,Reject,51.97,51.97,80.0,False,NO_EXCELLENT_CANDIDATE,1.5,13.3,19.7,22.5,76.0,100.0,75.7,75.0,0.7,872.9,616.2,1.42,661.55,662.0,661.77,0.07,
2026-08-13T11:24:40.712943+05:30,2026-08-13,BANKNIFTY,PE,57500.0,2026-08-25,12,Reject,48.83,48.83,80.0,False,CONTRACT_INVALID,-1.5,13.3,19.7,22.5,61.5,100.0,75.3,75.0,0.3,872.9,616.2,1.42,382.0,382.6,382.3,0.16,Contract invalid: ; PremiumElasticity hard reject
2026-08-13T11:24:40.712943+05:30,2026-08-13,MIDCPNIFTY,CE,15000.0,2026-08-25,12,Reject,47.86,47.86,80.0,False,NO_TRADE,0.0,0.2,20.6,22.5,76.5,100.0,71.6,70.0,0.5,174.1,160.7,1.08,139.45,140.2,139.82,0.54,Expected/Required hard reject
2026-08-13T11:24:40.712943+05:30,2026-08-13,MIDCPNIFTY,PE,15000.0,2026-08-25,12,Reject,47.86,47.86,80.0,False,NO_TRADE,-0.0,0.2,20.6,22.5,76.5,100.0,71.6,70.0,0.5,174.1,160.7,1.08,127.7,128.25,127.97,0.43,Expected/Required hard reject
