skip_id,timestamp,ranking_cycle_id,underlying,option_type,rank,OpportunityScore,DirectionScore,TradeQualityScore,ContractQualityScore,PremiumElasticity,ExpectedMove,RequiredMove,ExpectedRequiredRatio,IVCrushRiskScore,MarketHostilityScore,RegimeConfidence,DataHealthStatus,hard_stop_fit,veto_reason,why_not_traded,calibration_status
202608121522_1_NIFTY_PE,2026-08-12T09:52:38.960622+00:00,202608121522,NIFTY,PE,1,72.12406528818263,1.8549411405008154,80.0,70.0,0.5,32.59733333333241,155.205,0.21002759790813702,24.0,19.181426857184178,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121522_2_NIFTY_CE,2026-08-12T09:52:38.962242+00:00,202608121522,NIFTY,CE,2,72.06841705396761,-1.8549411405008154,80.0,70.0,0.5,32.59733333333241,155.205,0.21002759790813702,24.0,19.181426857184178,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121522_3_NIFTY_PE,2026-08-12T09:52:38.965669+00:00,202608121522,NIFTY,PE,3,71.47406528818264,1.8549411405008154,80.0,63.0,0.7,32.59733333333241,155.205,0.21002759790813702,24.0,19.181426857184178,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121522_4_NIFTY_CE,2026-08-12T09:52:38.966306+00:00,202608121522,NIFTY,CE,4,71.41841705396762,-1.8549411405008154,80.0,63.0,0.7,32.59733333333241,155.205,0.21002759790813702,24.0,19.181426857184178,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121522_5_BANKNIFTY_PE,2026-08-12T09:52:38.966842+00:00,202608121522,BANKNIFTY,PE,5,70.36879953707646,4.421892867708849,80.0,70.0,0.5,98.66799999999736,643.275,0.15338385604911953,22.5,20.023251144381987,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121523_1_BANKNIFTY_PE,2026-08-12T09:53:41.534541+00:00,202608121523,BANKNIFTY,PE,1,69.65985148514855,0.09000900090029151,80.0,70.0,0.5,76.83433333333217,643.185,0.11945914990761938,22.5,19.470497342829322,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121523_2_BANKNIFTY_CE,2026-08-12T09:53:41.534831+00:00,202608121523,BANKNIFTY,CE,2,69.65715121512154,-0.09000900090029151,80.0,70.0,0.5,76.83433333333217,643.185,0.11945914990761938,22.5,19.470497342829322,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121523_3_BANKNIFTY_PE,2026-08-12T09:53:41.534981+00:00,202608121523,BANKNIFTY,PE,3,69.00985148514854,0.09000900090029151,80.0,63.0,0.7,76.83433333333217,643.185,0.11945914990761938,22.5,19.470497342829322,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121523_4_BANKNIFTY_CE,2026-08-12T09:53:41.535160+00:00,202608121523,BANKNIFTY,CE,4,69.00715121512154,-0.09000900090029151,80.0,63.0,0.7,76.83433333333217,643.185,0.11945914990761938,22.5,19.470497342829322,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121523_5_MIDCPNIFTY_PE,2026-08-12T09:53:41.535395+00:00,202608121523,MIDCPNIFTY,PE,5,68.53200729808164,0.5075311614119932,80.0,63.0,0.7,17.669166666666115,171.67499999999998,0.10292218824328596,22.5,20.18694137420538,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121524_1_NIFTY_CE,2026-08-12T09:54:44.274155+00:00,202608121524,NIFTY,CE,1,50.618,0.0,0.0,70.0,0.5,22.25599999999977,155.46,0.1431622282259087,24.0,18.806521438706344,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121524_2_NIFTY_PE,2026-08-12T09:54:44.274759+00:00,202608121524,NIFTY,PE,2,50.618,-0.0,0.0,70.0,0.5,22.25599999999977,155.46,0.1431622282259087,24.0,18.806521438706344,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
202608121524_3_NIFTY_CE,2026-08-12T09:54:44.275331+00:00,202608121524,NIFTY,CE,3,49.967999999999996,0.0,0.0,63.0,0.7,22.25599999999977,155.46,0.1431622282259087,24.0,18.806521438706344,60.0,VALID,True,Expected/Required hard reject,Expected/Required hard reject,direction=VALIDATED;liquidity=VALIDATED
