ts,date,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,strategy_version,score_version,universe_version,parameter_profile,side,setup_type,strike,expiry,dte,grade,comparable_score,opportunity_score,threshold,eligible,decision,direction,direction_model_score,direction_model_name,direction_model_status,direction_model_disagreement,gate_snapshot_id,gate_learning_status,gate_learning_observations,gate_learning_sessions,gate_learning_outcomes,gate_contract_quality_min,gate_direction_min,gate_premium_elasticity_min,gate_expected_required_ratio_min,gate_trade_quality_min,gate_final_confidence_min,gate_market_hostility_max,gate_iv_crush_max,gate_min_top_book_lots,gate_min_5depth_lots_each_side,cost_model_status,cost_model_valid,canonical_promotion_allowed,iv_context_status,iv_context_reason,iv_context_source,trade_quality,market_hostility,iv_crush,convexity,execution,confidence,regime_fit,premium_elasticity,expected_move,required_move,exp_req_ratio,bid,ask,mid,spread_pct,reasons,calibrated_probability,calibrated_expectancy_r
2026-08-18T10:25:34.012118+05:30,2026-08-18,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:MIDCAP,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,14825.0,2026-08-25,7,Reject,43.82,43.82,90.0,False,DATA_INVALID,1.5,2.7014,midcap_direction_proxy,PARTIAL_MIDCAP,4.1823,712afad509f5,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,8.6,21.1,24.0,61.3,100.0,74.3,70.0,0.3,128.8,118.9,1.08,75.9,76.45,76.18,0.72,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.5 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:MIDCAP,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,14875.0,2026-08-25,7,Reject,43.55,43.55,90.0,False,DATA_INVALID,-1.5,2.7014,midcap_direction_proxy,PARTIAL_MIDCAP,4.1823,712afad509f5,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,8.6,21.1,24.0,61.3,100.0,73.9,70.0,0.3,128.8,118.9,1.08,96.9,97.5,97.2,0.62,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.5 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:ASIANPAINT,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,2640.0,2026-08-25,7,Reject,21.9,41.9,87.0,False,DATA_INVALID,0.3,,ASIANPAINT,NOT_CONFIGURED,,8512c046e489,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,1.6,20.9,24.0,78.3,89.7,65.6,60.0,0.5,46.7,40.0,1.17,38.25,38.65,38.45,1.04,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.3 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 65.6 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:ASIANPAINT,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,2640.0,2026-08-25,7,Reject,18.98,38.98,87.0,False,DATA_INVALID,-0.3,,ASIANPAINT,NOT_CONFIGURED,,8512c046e489,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,1.6,20.9,24.0,78.3,73.6,61.0,60.0,0.5,46.7,40.0,1.17,28.05,28.45,28.25,1.42,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -0.3 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; FinalConfidence below configured minimum; ExecutionQuality below excellent gate: 73.6 < 80.0; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 61.0 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:ASIANPAINT,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,2620.0,2026-08-25,7,Reject,15.28,35.28,87.0,False,DATA_INVALID,-0.3,,ASIANPAINT,NOT_CONFIGURED,,8512c046e489,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,1.6,20.9,24.0,62.3,70.8,60.2,60.0,0.3,46.7,40.0,1.17,20.1,20.4,20.25,1.48,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -0.3 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; FinalConfidence below configured minimum; ExecutionQuality below excellent gate: 70.8 < 80.0; ConvexityEdge below excellent gate: 62.3 < 80.0; OpportunityConfidence below excellent gate: 60.2 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:ASIANPAINT,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,2660.0,2026-08-25,7,Reject,14.35,34.35,87.0,False,DATA_INVALID,0.3,,ASIANPAINT,NOT_CONFIGURED,,8512c046e489,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,1.6,20.9,24.0,62.3,65.0,59.2,60.0,0.3,46.7,40.0,1.17,28.4,28.85,28.62,1.57,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.3 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; FinalConfidence below configured minimum; ExecutionQuality below excellent gate: 65.0 < 80.0; ConvexityEdge below excellent gate: 62.3 < 80.0; OpportunityConfidence below excellent gate: 59.2 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:ASIANPAINT,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,2660.0,2026-08-25,7,Reject,21.44,41.44,87.0,False,DATA_INVALID,-0.3,,ASIANPAINT,NOT_CONFIGURED,,8512c046e489,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,1.6,20.9,24.0,76.8,89.1,65.3,60.0,0.7,46.7,40.0,1.17,37.75,38.15,37.95,1.05,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -0.3 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 76.8 < 80.0; OpportunityConfidence below excellent gate: 65.3 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,AXISBANK,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:AXISBANK,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,1220.0,2026-08-25,7,Reject,22.83,42.83,87.0,False,DATA_INVALID,5.2,,AXISBANK,NOT_CONFIGURED,,cfeb90d03746,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,16.0,27.0,24.0,76.8,78.0,67.3,60.0,0.7,17.6,15.1,1.17,22.7,23.0,22.85,1.31,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 5.2 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 78.0 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; OpportunityConfidence below excellent gate: 67.3 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,AXISBANK,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:AXISBANK,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,1260.0,2026-08-25,7,Reject,22.2,42.2,87.0,False,DATA_INVALID,-5.2,,AXISBANK,NOT_CONFIGURED,,cfeb90d03746,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,16.0,27.0,24.0,76.8,79.7,66.2,60.0,0.7,17.6,15.1,1.17,27.3,27.65,27.48,1.27,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -5.2 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 79.7 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; OpportunityConfidence below excellent gate: 66.2 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJFINANCE,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJFINANCE,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,1090.0,2026-08-25,7,Reject,26.1,46.1,87.0,False,DATA_INVALID,-11.7,,BAJFINANCE,NOT_CONFIGURED,,58c303dc05a9,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,64.0,25.7,24.0,78.3,21.8,65.9,60.0,0.5,20.5,17.6,1.17,11.3,11.55,11.43,2.19,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.7 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 21.8 < 80.0; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 65.9 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
