event_id,ts,event_type,session_id,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,decision_source,strategy_version,score_version,universe_version,parameter_profile,payload_json
20260821125122801216-1,2026-08-21T12:51:22.801216+05:30,DAILY_MODE_CONTEXT,20260821_125122,,,,,,INDEX:,daily_mode_operator_control,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""computed_mode"": ""NORMAL"", ""effective_mode"": ""NORMAL"", ""path"": ""uploads\\DAILY_MODE.txt"", ""reason"": ""Daily mode is for 2026-08-17, not 2026-08-21"", ""status"": ""STALE""}"
20260821125407566769-2,2026-08-21T12:54:07.566769+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260821_125122,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 21_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 48.619633514481876, ""calibration_uncertainty_risk"": 42.857142857142854, ""cross_instrument_market_hostility"": 21.486222694336977, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""21_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 48.59501006034501, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-21T12:54:07.566769+05:30""}}"
20260821125453713689-3,2026-08-21T12:54:53.713689+05:30,DATA_HEALTH_ALERT,20260821_125122,NIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.713689+05:30"", ""last_reason"": ""Option chain stale 41.03s; Candidate option quote stale 41.71s; Candidate option quote stale 41.71s; Candidate option quote stale 42.71s; Candidate option quote stale 42.71s; Candidate option quote stale 42.71s; Candidate option quote stale 42.71s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453723029-4,2026-08-21T12:54:53.723029+05:30,DATA_HEALTH_ALERT,20260821_125122,BANKNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.723029+05:30"", ""last_reason"": ""Option chain stale 41.03s; Candidate option quote stale 41.72s; Candidate option quote stale 41.72s; Candidate option quote stale 41.72s; Candidate option quote stale 41.72s; Candidate option quote stale 37.72s; Candidate option quote stale 35.72s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453727031-5,2026-08-21T12:54:53.727031+05:30,DATA_HEALTH_ALERT,20260821_125122,FINNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:FINANCIALS,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.727031+05:30"", ""last_reason"": ""Option chain stale 41.04s; Candidate option quote stale 37.73s; Candidate option quote stale 32.73s; Candidate option quote stale 232.73s; Candidate option quote stale 95.73s; Candidate option quote stale 33.73s; Candidate option quote stale 120.73s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453729717-6,2026-08-21T12:54:53.729717+05:30,DATA_HEALTH_ALERT,20260821_125122,BANKEX,BSE,INDEX,BSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.729717+05:30"", ""last_reason"": ""Option chain stale 41.04s; Candidate option quote stale 740.73s; Candidate option quote stale 67.73s; Candidate option quote stale 46493.73s; Candidate option quote stale 684.73s; Candidate option quote stale 30.73s; Candidate option quote stale 433.73s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453732476-7,2026-08-21T12:54:53.732476+05:30,DATA_HEALTH_ALERT,20260821_125122,FOCIT,BSE,INDEX,BSE_INDEX,,INDEX:BSE_OTHER,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.732476+05:30"", ""last_reason"": ""Option chain stale 41.04s; Candidate option quote stale 46493.73s; Candidate option quote stale 46493.73s; Candidate option quote stale 46493.73s; Candidate option quote stale 46493.73s; Candidate option quote stale 3790.73s; Candidate option quote stale 46493.73s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453734325-8,2026-08-21T12:54:53.734325+05:30,DATA_HEALTH_ALERT,20260821_125122,ADANIENT,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:ADANIENT,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.734325+05:30"", ""last_reason"": ""Option chain stale 41.05s; Candidate option quote stale 182.73s; Candidate option quote stale 154.73s; Candidate option quote stale 450.73s; Candidate option quote stale 289.73s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453736771-9,2026-08-21T12:54:53.736771+05:30,DATA_HEALTH_ALERT,20260821_125122,ADANIPORTS,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:ADANIPORTS,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.736771+05:30"", ""last_reason"": ""Option chain stale 41.05s; Candidate option quote stale 56.74s; Candidate option quote stale 104.74s; Candidate option quote stale 34.74s; Candidate option quote stale 57.74s; Candidate option quote stale 41.74s; Candidate option quote stale 68.74s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453742516-10,2026-08-21T12:54:53.742516+05:30,DATA_HEALTH_ALERT,20260821_125122,APOLLOHOSP,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:APOLLOHOSP,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-21T12:54:53.742516+05:30"", ""last_reason"": ""Option chain stale 41.05s; Candidate option quote stale 15.74s; Candidate option quote stale 61.74s; Candidate option quote stale 521.74s; Candidate option quote stale 42.74s; Candidate option quote warning stale 7.74s; Candidate option quote stale 36.74s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260821125453711373-11,2026-08-21T12:54:53.711373+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260821_125122,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 12_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 48.92047970020093, ""calibration_uncertainty_risk"": 66.66666666666667, ""cross_instrument_market_hostility"": 24.50418433381998, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""12_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 50.46429012514756, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-21T12:54:53.711373+05:30""}}"
