skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608211254_1_BANKNIFTY_CE,2026-08-21T07:24:07.632333+00:00,BANKNIFTY,2026-08-25,57700.0,CE,278.825,278.45,279.2,25.0,2.0,51.380366485518124,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 1.6718159406960282, ""excellent_score_min"": 51.380366485518124, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 78.09983935049286, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.557115893837096, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.268985923070026, ""trade_quality_min"": 21.163556531294827}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211254_2_BANKNIFTY_PE,2026-08-21T07:24:07.636938+00:00,BANKNIFTY,2026-08-25,57700.0,PE,225.39999999999998,225.2,225.6,25.0,2.0,51.079439616192836,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.079439616192836, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 77.59829456828405, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.557115893837096, ""min_5depth_lots_each_side"": 12.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.17746228926353405, ""trade_quality_min"": 21.163556531294827}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211254_3_BANKNIFTY_PE,2026-08-21T07:24:07.642062+00:00,BANKNIFTY,2026-08-25,57800.0,PE,273.3,273.05,273.55,25.0,2.0,50.77943961619284,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 50.77943961619284, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 77.59829456828405, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.557115893837096, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.18294914013904134, ""trade_quality_min"": 21.163556531294827}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211254_4_MIDCPNIFTY_CE,2026-08-21T07:24:07.643649+00:00,MIDCPNIFTY,2026-08-25,14825.0,CE,79.475,79.25,79.7,15.895,2.0,50.06366762913623,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.3747093904777234, ""excellent_score_min"": 50.06366762913623, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.61924988682959, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.379611225280627, ""min_5depth_lots_each_side"": 10.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5662157911292895, ""trade_quality_min"": 19.710144927526454}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211254_5_MIDCPNIFTY_PE,2026-08-21T07:24:07.644620+00:00,MIDCPNIFTY,2026-08-25,14875.0,PE,75.125,74.9,75.35,15.025,2.0,49.81621993885024,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 49.81621993885024, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.20683706968627, ""iv_crush_max"": 24.0, ""market_hostility_max"": 19.379611225280627, ""min_5depth_lots_each_side"": 12.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5990016638934957, ""trade_quality_min"": 19.710144927526454}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211256_1_BANKNIFTY_PE,2026-08-21T07:26:04.958750+00:00,BANKNIFTY,2026-08-25,57700.0,PE,226.85000000000002,226.65,227.05,25.0,2.0,53.154549550604855,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 53.154549550604855, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 79.69201035494248, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.184163507476725, ""min_5depth_lots_each_side"": 22.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.17632797002424758, ""trade_quality_min"": 28.253557567919156}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211256_2_BANKNIFTY_PE,2026-08-21T07:26:04.959398+00:00,BANKNIFTY,2026-08-25,57800.0,PE,274.425,274.1,274.75,25.0,2.0,52.85454955060486,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 52.85454955060486, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 79.69201035494248, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.184163507476725, ""min_5depth_lots_each_side"": 24.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.23685888676322392, ""trade_quality_min"": 28.253557567919156}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211256_3_MIDCPNIFTY_CE,2026-08-21T07:26:04.959894+00:00,MIDCPNIFTY,2026-08-25,14850.0,CE,65.675,65.5,65.85,13.135,2.0,51.78659412596854,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.5633686551321342, ""excellent_score_min"": 51.78659412596854, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 79.13876061741811, ""iv_crush_max"": 24.0, ""market_hostility_max"": 18.87643906624081, ""min_5depth_lots_each_side"": 6.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5329272934906651, ""trade_quality_min"": 24.680851063827646}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211256_4_MIDCPNIFTY_PE,2026-08-21T07:26:04.960400+00:00,MIDCPNIFTY,2026-08-25,14850.0,PE,62.775000000000006,62.6,62.95,12.555000000000001,2.0,51.50518776804476,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.50518776804476, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 78.66975002087847, ""iv_crush_max"": 24.0, ""market_hostility_max"": 18.87643906624081, ""min_5depth_lots_each_side"": 9.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5575467941059361, ""trade_quality_min"": 24.680851063827646}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608211256_5_MIDCPNIFTY_CE,2026-08-21T07:26:04.960863+00:00,MIDCPNIFTY,2026-08-25,14825.0,CE,79.775,79.55,80.0,15.955000000000002,2.0,51.486594125968544,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.5633686551321342, ""excellent_score_min"": 51.486594125968544, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 79.13876061741811, ""iv_crush_max"": 24.0, ""market_hostility_max"": 18.87643906624081, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5640864932623038, ""trade_quality_min"": 24.680851063827646}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
