event_id,ts,event_type,session_id,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,decision_source,strategy_version,score_version,universe_version,parameter_profile,payload_json
20260819094908201677-1,2026-08-19T09:49:08.201677+05:30,DAILY_MODE_CONTEXT,20260819_094907,,,,,,INDEX:,daily_mode_operator_control,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""computed_mode"": ""NORMAL"", ""effective_mode"": ""NORMAL"", ""path"": ""uploads\\DAILY_MODE.txt"", ""reason"": ""Daily mode is for 2026-08-17, not 2026-08-19"", ""status"": ""STALE""}"
20260819095041372616-2,2026-08-19T09:50:41.372616+05:30,DATA_HEALTH_ALERT,20260819_094907,NIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.372616+05:30"", ""last_reason"": ""Option chain stale 34.66s; Candidate option quote stale 33.37s; Candidate option quote stale 34.37s; Candidate option quote stale 35.37s; Candidate option quote stale 35.37s; Candidate option quote stale 33.37s; Candidate option quote stale 32.37s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041378155-3,2026-08-19T09:50:41.378155+05:30,DATA_HEALTH_ALERT,20260819_094907,BANKNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.378155+05:30"", ""last_reason"": ""Option chain stale 34.67s; Candidate option quote stale 30.38s; Candidate option quote stale 30.38s; Candidate option quote stale 31.38s; Candidate option quote stale 31.38s; Candidate option quote stale 30.38s; Candidate option quote stale 29.38s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041380956-4,2026-08-19T09:50:41.380956+05:30,DATA_HEALTH_ALERT,20260819_094907,FINNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:FINANCIALS,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.380956+05:30"", ""last_reason"": ""Option chain stale 34.67s; Candidate option quote stale 31.38s; Candidate option quote stale 34.38s; Candidate option quote stale 280.38s; Candidate option quote stale 57.38s; Candidate option quote stale 126.38s; Candidate option quote stale 42.38s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041383925-5,2026-08-19T09:50:41.383925+05:30,DATA_HEALTH_ALERT,20260819_094907,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:MIDCAP,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.383925+05:30"", ""last_reason"": ""Option chain stale 34.67s; Candidate option quote stale 26.38s; Candidate option quote stale 25.38s; Candidate option quote stale 25.38s; Candidate option quote stale 24.38s; Candidate option quote stale 24.38s; Candidate option quote stale 25.38s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041386630-6,2026-08-19T09:50:41.386630+05:30,DATA_HEALTH_ALERT,20260819_094907,SENSEX,BSE,INDEX,BSE_INDEX,,INDEX:BSE_BROAD,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.386630+05:30"", ""last_reason"": ""Option chain stale 34.67s; Candidate option quote stale 21.39s; Candidate option quote stale 20.39s; Candidate option quote stale 22.39s; Candidate option quote stale 21.39s; Candidate option quote stale 20.39s; Candidate option quote stale 19.39s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041389474-7,2026-08-19T09:50:41.389474+05:30,DATA_HEALTH_ALERT,20260819_094907,BANKEX,BSE,INDEX,BSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.389474+05:30"", ""last_reason"": ""Option chain stale 34.68s; Candidate option quote stale 117.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 123.39s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041392174-8,2026-08-19T09:50:41.392174+05:30,DATA_HEALTH_ALERT,20260819_094907,FOCIT,BSE,INDEX,BSE_INDEX,,INDEX:BSE_OTHER,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.392174+05:30"", ""last_reason"": ""Option chain stale 34.68s; Candidate option quote stale 662.39s; Candidate option quote stale 811.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 35441.39s; Candidate option quote stale 35441.39s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095041394839-9,2026-08-19T09:50:41.394839+05:30,DATA_HEALTH_ALERT,20260819_094907,NIFTYNXT50,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:50:41.394839+05:30"", ""last_reason"": ""Option chain stale 34.68s; Candidate option quote invalid; Candidate option quote invalid; Candidate option quote stale 1626912.39s; Candidate option quote invalid; Candidate option quote stale 1024.39s; Candidate option quote stale 1228.39s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095133381672-10,2026-08-19T09:51:33.381672+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260819_094907,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 25_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 37.99817950213874, ""calibration_uncertainty_risk"": 60.0, ""cross_instrument_market_hostility"": 29.241620446370852, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""25_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 48.34786896480885, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-19T09:51:33.381672+05:30""}}"
