skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608190951_1_NIFTY_CE,2026-08-19T04:21:33.437962+00:00,NIFTY,2026-08-25,24100.0,CE,147.675,147.5,147.85,25.0,2.0,62.00182049786126,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 7.4760920805341256, ""excellent_score_min"": 62.00182049786126, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 87.41593436002533, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.43181549403625, ""min_5depth_lots_each_side"": 142.0, ""min_top_book_lots"": 18.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2370069409175516, ""trade_quality_min"": 49.31506849315069}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190951_2_NIFTY_CE,2026-08-19T04:21:33.441469+00:00,NIFTY,2026-08-25,24050.0,CE,177.525,177.3,177.75,25.0,2.0,61.70182049786126,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 7.4760920805341256, ""excellent_score_min"": 61.70182049786126, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 87.41593436002533, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.43181549403625, ""min_5depth_lots_each_side"": 79.0, ""min_top_book_lots"": 11.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.25348542458807977, ""trade_quality_min"": 49.31506849315069}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190951_3_NIFTY_PE,2026-08-19T04:21:33.441985+00:00,NIFTY,2026-08-25,24150.0,PE,126.125,126.0,126.25,25.0,2.0,60.35612392336512,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 60.35612392336512, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 85.17310673586509, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.43181549403625, ""min_5depth_lots_each_side"": 88.0, ""min_top_book_lots"": 4.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.19821605550049554, ""trade_quality_min"": 49.31506849315069}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190951_4_NIFTY_CE,2026-08-19T04:21:33.442505+00:00,NIFTY,2026-08-25,24150.0,CE,120.75,120.6,120.9,24.150000000000002,2.0,58.80182049786126,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 7.4760920805341256, ""excellent_score_min"": 58.80182049786126, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 87.41593436002533, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.43181549403625, ""min_5depth_lots_each_side"": 233.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2484472049689535, ""trade_quality_min"": 49.31506849315069}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190951_5_FINNIFTY_PE,2026-08-19T04:21:33.442982+00:00,FINNIFTY,2026-08-25,26000.0,PE,135.325,135.0,135.65,25.0,2.0,57.90970737718557,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 57.90970737718557, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 84.35401998141622, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.546404781405382, ""min_5depth_lots_each_side"": 5.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.480325143173845, ""trade_quality_min"": 49.77162629758117}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190953_1_BANKNIFTY_PE,2026-08-19T04:23:08.712466+00:00,BANKNIFTY,2026-08-25,57200.0,PE,312.54999999999995,312.2,312.9,25.0,2.0,55.515382997628365,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 55.515382997628365, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 82.24544199070681, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.8463497238036, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.22396416573347905, ""trade_quality_min"": 41.33770491803431}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190953_2_BANKNIFTY_PE,2026-08-19T04:23:08.713189+00:00,BANKNIFTY,2026-08-25,57300.0,PE,357.775,357.45,358.1,25.0,2.0,55.21538299762837,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 55.21538299762837, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 82.24544199070681, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.8463497238036, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.18167842918036034, ""trade_quality_min"": 41.33770491803431}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190953_3_MIDCPNIFTY_CE,2026-08-19T04:23:08.713822+00:00,MIDCPNIFTY,2026-08-25,14850.0,CE,101.6,101.25,101.95,20.32,2.0,54.58545873272632,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 10.60535529964157, ""excellent_score_min"": 54.58545873272632, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 83.82117872156748, ""iv_crush_max"": 24.0, ""market_hostility_max"": 27.189767826244058, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6889763779527588, ""trade_quality_min"": 35.76791808873743}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190953_4_MIDCPNIFTY_CE,2026-08-19T04:23:08.714454+00:00,MIDCPNIFTY,2026-08-25,14825.0,CE,115.625,115.3,115.95,23.125,2.0,54.285458732726326,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 10.60535529964157, ""excellent_score_min"": 54.285458732726326, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 83.82117872156748, ""iv_crush_max"": 24.0, ""market_hostility_max"": 27.189767826244058, ""min_5depth_lots_each_side"": 5.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5621621621621671, ""trade_quality_min"": 35.76791808873743}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608190953_5_NIFTY_CE,2026-08-19T04:23:08.714956+00:00,NIFTY,2026-08-25,24100.0,CE,145.45,145.3,145.6,25.0,2.0,53.01704791018112,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 3.0721137180256273, ""excellent_score_min"": 53.01704791018112, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 77.96893613754195, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.661714644568, ""min_5depth_lots_each_side"": 110.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2062564455139106, ""trade_quality_min"": 20.027063599460305}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
