ts,date,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,strategy_version,score_version,universe_version,parameter_profile,side,setup_type,strike,expiry,dte,grade,comparable_score,opportunity_score,threshold,eligible,decision,direction,direction_model_score,direction_model_name,direction_model_status,direction_model_disagreement,gate_snapshot_id,gate_learning_status,gate_learning_observations,gate_learning_sessions,gate_learning_outcomes,gate_contract_quality_min,gate_direction_min,gate_premium_elasticity_min,gate_expected_required_ratio_min,gate_trade_quality_min,gate_final_confidence_min,gate_market_hostility_max,gate_iv_crush_max,gate_min_top_book_lots,gate_min_5depth_lots_each_side,cost_model_status,cost_model_valid,canonical_promotion_allowed,iv_context_status,iv_context_reason,iv_context_source,trade_quality,market_hostility,iv_crush,convexity,execution,confidence,regime_fit,premium_elasticity,expected_move,required_move,exp_req_ratio,bid,ask,mid,spread_pct,depth_evidence,depth_source,depth_bid_levels,depth_ask_levels,bid_qty,ask_qty,cumulative_bid_qty_5depth,cumulative_ask_qty_5depth,quote_timestamp,source_timestamp_available,reasons,calibrated_probability,calibrated_expectancy_r
2026-08-19T10:00:40.326215+05:30,2026-08-19,NIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:BROAD_EQUITY,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,24100.0,2026-08-25,6,Reject,53.7,53.7,80.0,False,DATA_INVALID,-2.3,-12.0000,nifty_leadership_proxy,VALID,9.6601,00929e22c867,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,23.7,20.9,24.0,78.3,100.0,78.3,95.0,0.5,200.4,150.3,1.33,144.7,145.0,144.85,0.21,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,260,3965,5265,8645,2026-08-19T04:29:54+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.3 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 78.3 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,NIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:BROAD_EQUITY,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,24100.0,2026-08-25,6,Reject,54.12,54.12,80.0,False,DATA_INVALID,2.3,-12.0000,nifty_leadership_proxy,VALID,9.6601,00929e22c867,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,23.7,20.9,24.0,78.3,100.0,79.0,95.0,0.5,200.4,150.3,1.33,105.5,105.8,105.65,0.28,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,2990,2925,12155,13130,2026-08-19T04:29:54+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.3 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 78.3 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,NIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:BROAD_EQUITY,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,24050.0,2026-08-25,6,Reject,53.4,53.4,80.0,False,DATA_INVALID,-2.3,-12.0000,nifty_leadership_proxy,VALID,9.6601,00929e22c867,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,23.7,20.9,24.0,76.8,100.0,78.3,95.0,0.7,200.4,150.3,1.33,174.1,174.5,174.3,0.23,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,260,780,4160,5070,2026-08-19T04:29:52+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.3 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 76.8 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,NIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:BROAD_EQUITY,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,24150.0,2026-08-25,6,Reject,50.5,50.5,80.0,False,DATA_INVALID,-2.3,-12.0000,nifty_leadership_proxy,VALID,9.6601,00929e22c867,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,23.7,20.9,24.0,62.3,100.0,78.3,95.0,0.3,200.4,150.3,1.33,118.1,118.4,118.25,0.25,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,2990,910,11960,8905,2026-08-19T04:29:54+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.3 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 62.3 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,NIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:BROAD_EQUITY,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,24150.0,2026-08-25,6,Reject,53.82,53.82,80.0,False,DATA_INVALID,2.3,-12.0000,nifty_leadership_proxy,VALID,9.6601,00929e22c867,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,23.7,20.9,24.0,76.8,100.0,79.0,95.0,0.7,200.4,150.3,1.33,128.85,129.15,129.0,0.23,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,455,325,11700,7995,2026-08-19T04:29:55+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.3 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 76.8 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,BANKNIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:BANKING,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,57300.0,2026-08-25,6,Reject,49.38,49.38,80.0,False,DATA_INVALID,-3.2,-14.6580,banknifty_fast_wbci,VALID,11.4965,2e840ccd58d1,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,29.3,23.5,24.0,62.3,100.0,79.8,75.0,0.3,624.1,440.5,1.42,352.05,352.65,352.35,0.17,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,150,30,300,270,2026-08-19T04:30:00+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.2 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.42 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 62.3 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:MIDCAP,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,14825.0,2026-08-25,6,Reject,54.36,54.36,90.0,False,DATA_INVALID,-8.4,12.2841,midcap_direction_proxy,PARTIAL_MIDCAP,20.7181,712afad509f5,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,39.3,24.5,24.0,77.3,100.0,82.0,70.0,0.5,123.4,113.9,1.08,106.65,107.3,106.97,0.61,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,360,120,1320,1200,2026-08-19T04:30:00+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.4 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 77.3 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:MIDCAP,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,14800.0,2026-08-25,6,Reject,54.06,54.06,90.0,False,DATA_INVALID,-8.4,12.2841,midcap_direction_proxy,PARTIAL_MIDCAP,20.7181,712afad509f5,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,39.3,24.5,24.0,75.8,100.0,82.0,70.0,0.7,123.4,113.9,1.08,121.6,122.0,121.8,0.33,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,120,960,960,2040,2026-08-19T04:30:05+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.4 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 75.8 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,PAPER_ELIGIBLE,INDEX:MIDCAP,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,14850.0,2026-08-25,6,Reject,55.58,55.58,90.0,False,DATA_INVALID,8.4,12.2841,midcap_direction_proxy,PARTIAL_MIDCAP,20.7181,712afad509f5,WARMUP_OBSERVATIONS,0,0,0,80.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,2.0,10.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,39.3,24.5,24.0,75.8,100.0,84.6,70.0,0.7,123.4,113.9,1.08,93.25,93.95,93.6,0.75,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,240,240,960,840,2026-08-19T04:29:57+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 8.4 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 75.8 < 80.0,,
2026-08-19T10:00:40.326215+05:30,2026-08-19,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:ASIANPAINT,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,2620.0,2026-08-25,6,Reject,20.47,40.47,87.0,False,DATA_INVALID,-1.8,,ASIANPAINT,NOT_CONFIGURED,,8512c046e489,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,6.7,34.3,24.0,78.3,93.3,67.2,60.0,0.5,41.4,35.5,1.17,36.4,36.75,36.58,0.96,FIVE_LEVEL,FYERS_MARKET_DEPTH,5,5,250,250,1500,1500,2026-08-19T04:29:38+00:00,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.8 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 67.2 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
