event_id,ts,event_type,session_id,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,decision_source,strategy_version,score_version,universe_version,parameter_profile,payload_json
20260819095810656383-1,2026-08-19T09:58:10.656383+05:30,DAILY_MODE_CONTEXT,20260819_095810,,,,,,INDEX:,daily_mode_operator_control,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""computed_mode"": ""NORMAL"", ""effective_mode"": ""NORMAL"", ""path"": ""uploads\\DAILY_MODE.txt"", ""reason"": ""Daily mode is for 2026-08-17, not 2026-08-19"", ""status"": ""STALE""}"
20260819095948087629-2,2026-08-19T09:59:48.087629+05:30,DATA_HEALTH_ALERT,20260819_095810,NIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.087629+05:30"", ""last_reason"": ""Option chain stale 35.05s; Candidate option quote stale 34.09s; Candidate option quote stale 34.09s; Candidate option quote stale 36.09s; Candidate option quote stale 36.09s; Candidate option quote stale 34.09s; Candidate option quote stale 34.09s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948093618-3,2026-08-19T09:59:48.093618+05:30,DATA_HEALTH_ALERT,20260819_095810,BANKNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.093618+05:30"", ""last_reason"": ""Option chain stale 35.06s; Candidate option quote stale 31.09s; Candidate option quote stale 30.09s; Candidate option quote stale 32.09s; Candidate option quote stale 31.09s; Candidate option quote stale 30.09s; Candidate option quote stale 30.09s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948101045-4,2026-08-19T09:59:48.101045+05:30,DATA_HEALTH_ALERT,20260819_095810,FINNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:FINANCIALS,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.101045+05:30"", ""last_reason"": ""Option chain stale 35.06s; Candidate option quote stale 107.10s; Candidate option quote stale 42.10s; Candidate option quote stale 263.10s; Candidate option quote stale 42.10s; Candidate option quote stale 44.10s; Candidate option quote stale 84.10s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948104065-5,2026-08-19T09:59:48.104065+05:30,DATA_HEALTH_ALERT,20260819_095810,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:MIDCAP,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.104065+05:30"", ""last_reason"": ""Option chain stale 35.07s; Candidate option quote stale 26.10s; Candidate option quote stale 29.10s; Candidate option quote stale 26.10s; Candidate option quote stale 34.10s; Candidate option quote stale 32.10s; Candidate option quote stale 26.10s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948106844-6,2026-08-19T09:59:48.106844+05:30,DATA_HEALTH_ALERT,20260819_095810,SENSEX,BSE,INDEX,BSE_INDEX,,INDEX:BSE_BROAD,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.106844+05:30"", ""last_reason"": ""Option chain stale 35.07s; Candidate option quote stale 22.11s; Candidate option quote stale 21.11s; Candidate option quote stale 23.11s; Candidate option quote stale 22.11s; Candidate option quote stale 21.11s; Candidate option quote stale 20.11s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948109662-7,2026-08-19T09:59:48.109662+05:30,DATA_HEALTH_ALERT,20260819_095810,BANKEX,BSE,INDEX,BSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.109662+05:30"", ""last_reason"": ""Option chain stale 35.07s; Candidate option quote stale 547.11s; Candidate option quote stale 670.11s; Candidate option quote stale 507.11s; Candidate option quote stale 35988.11s; Candidate option quote stale 35988.11s; Candidate option quote stale 726.11s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948117019-8,2026-08-19T09:59:48.117019+05:30,DATA_HEALTH_ALERT,20260819_095810,FOCIT,BSE,INDEX,BSE_INDEX,,INDEX:BSE_OTHER,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.117019+05:30"", ""last_reason"": ""Option chain stale 35.08s; Candidate option quote stale 107.11s; Candidate option quote stale 550.11s; Candidate option quote stale 35988.11s; Candidate option quote stale 35988.11s; Candidate option quote stale 35988.12s; Candidate option quote stale 35988.12s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819095948119952-9,2026-08-19T09:59:48.119952+05:30,DATA_HEALTH_ALERT,20260819_095810,NIFTYNXT50,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T09:59:48.119952+05:30"", ""last_reason"": ""Option chain stale 35.08s; Candidate option quote stale 1571.12s; Candidate option quote stale 1775.12s; Candidate option quote invalid; Candidate option quote invalid; Candidate option quote invalid; Candidate option quote invalid"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260819100040243153-10,2026-08-19T10:00:40.243153+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260819_095810,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 24_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 44.41787105110933, ""calibration_uncertainty_risk"": 62.5, ""cross_instrument_market_hostility"": 27.894971308392837, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""24_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 49.8084620244559, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-19T10:00:40.243153+05:30""}}"
20260819100124201064-11,2026-08-19T10:01:24.201064+05:30,DATA_HEALTH_ALERT,20260819_095810,ASIANPAINT,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:ASIANPAINT,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-19T10:01:24.201064+05:30"", ""last_reason"": ""Option chain stale 38.83s; Candidate option quote stale 54.20s; Candidate option quote stale 54.20s; Candidate option quote stale 159.20s; Candidate option quote stale 58.20s; Candidate option quote stale 58.20s; Candidate option quote stale 58.20s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
