skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608191000_1_MIDCPNIFTY_PE,2026-08-19T04:30:40.318939+00:00,MIDCPNIFTY,2026-08-25,14850.0,PE,93.6,93.25,93.95,18.72,2.0,55.58212894889067,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 8.43395813334661, ""excellent_score_min"": 55.58212894889067, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 84.55787236992309, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.536270198818194, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.747863247863251, ""trade_quality_min"": 39.30926216640366}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191000_2_MIDCPNIFTY_CE,2026-08-19T04:30:40.324316+00:00,MIDCPNIFTY,2026-08-25,14825.0,CE,106.975,106.65,107.3,21.395,2.0,54.36401648488828,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 54.36401648488828, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 82.02768492991912, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.536270198818194, ""min_5depth_lots_each_side"": 10.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6076186024772063, ""trade_quality_min"": 39.30926216640366}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191000_3_NIFTY_PE,2026-08-19T04:30:40.324849+00:00,NIFTY,2026-08-25,24100.0,PE,105.65,105.5,105.8,21.130000000000003,2.0,54.120377869628996,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 2.339884872685544, ""excellent_score_min"": 54.120377869628996, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 78.97519325721898, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.931865169036755, ""min_5depth_lots_each_side"": 187.0, ""min_top_book_lots"": 45.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2839564600094625, ""trade_quality_min"": 23.74736842105382}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191000_4_MIDCPNIFTY_CE,2026-08-19T04:30:40.325326+00:00,MIDCPNIFTY,2026-08-25,14800.0,CE,121.8,121.6,122.0,24.36,2.0,54.064016484888285,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 54.064016484888285, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 82.02768492991912, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.536270198818194, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.32840722495895375, ""trade_quality_min"": 39.30926216640366}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191000_5_NIFTY_PE,2026-08-19T04:30:40.325736+00:00,NIFTY,2026-08-25,24150.0,PE,129.0,128.85,129.15,25.0,2.0,53.820377869629,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 2.339884872685544, ""excellent_score_min"": 53.820377869629, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 78.97519325721898, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.931865169036755, ""min_5depth_lots_each_side"": 123.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.23255813953489252, ""trade_quality_min"": 23.74736842105382}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191002_1_BANKNIFTY_CE,2026-08-19T04:32:16.425997+00:00,BANKNIFTY,2026-08-25,57300.0,CE,349.125,348.8,349.45,25.0,2.0,51.3232949332876,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.3232949332876, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 81.6597959240423, ""iv_crush_max"": 24.0, ""market_hostility_max"": 23.490243626485366, ""min_5depth_lots_each_side"": 9.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.186179735051909, ""trade_quality_min"": 36.24750499001885}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191002_2_NIFTY_PE,2026-08-19T04:32:16.426544+00:00,NIFTY,2026-08-25,24150.0,PE,130.22500000000002,130.05,130.4,25.0,2.0,50.3535885902016,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 1.0789366664176814, ""excellent_score_min"": 50.3535885902016, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 75.29820413632677, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.94550141478868, ""min_5depth_lots_each_side"": 120.0, ""min_top_book_lots"": 14.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2687655980034512, ""trade_quality_min"": 12.121212121213768}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191002_3_NIFTY_CE,2026-08-19T04:32:16.427127+00:00,NIFTY,2026-08-25,24050.0,CE,173.89999999999998,173.7,174.1,25.0,2.0,50.15937999024642,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 50.15937999024642, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 74.97452313640147, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.94550141478868, ""min_5depth_lots_each_side"": 71.0, ""min_top_book_lots"": 6.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.23001725129385034, ""trade_quality_min"": 12.121212121213768}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191002_4_MIDCPNIFTY_PE,2026-08-19T04:32:16.430523+00:00,MIDCPNIFTY,2026-08-25,14850.0,PE,92.05,91.75,92.35,18.41,2.0,49.63766002030519,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 4.662365881183587, ""excellent_score_min"": 49.63766002030519, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 78.33229432087737, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.694828638173085, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6518196632265012, ""trade_quality_min"": 20.443131462332747}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608191002_5_MIDCPNIFTY_CE,2026-08-19T04:32:16.432030+00:00,MIDCPNIFTY,2026-08-25,14825.0,CE,108.9,108.55,109.25,21.78,2.0,49.098434161692154,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 49.098434161692154, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 76.93358455652228, ""iv_crush_max"": 24.0, ""market_hostility_max"": 24.694828638173085, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6427915518824635, ""trade_quality_min"": 20.443131462332747}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
