event_id,ts,event_type,session_id,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,decision_source,strategy_version,score_version,universe_version,parameter_profile,payload_json
20260818102403145939-1,2026-08-18T10:24:03.145939+05:30,DAILY_MODE_CONTEXT,20260818_102402,,,,,,INDEX:,daily_mode_operator_control,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""computed_mode"": ""NORMAL"", ""effective_mode"": ""NORMAL"", ""path"": ""uploads\\DAILY_MODE.txt"", ""reason"": ""Daily mode is for 2026-08-17, not 2026-08-18"", ""status"": ""STALE""}"
20260818102438576200-2,2026-08-18T10:24:38.576200+05:30,INCIDENT_ENTRY_BLOCK,20260818_102402,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: OptionChainParseError: Missing CE at strike 3040.0; reconnect stabilization in progress""}"
20260818102449844044-3,2026-08-18T10:24:49.844044+05:30,INCIDENT_ENTRY_BLOCK,20260818_102402,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: OptionChainParseError: Missing CE at strike 3040.0; reconnect stabilization in progress""}"
20260818102513239500-4,2026-08-18T10:25:13.239500+05:30,INCIDENT_ENTRY_BLOCK,20260818_102402,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: OptionChainParseError: Missing CE at strike 3040.0; reconnect stabilization in progress""}"
20260818102533860709-5,2026-08-18T10:25:33.860709+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260818_102402,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 24_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 56.18428376054531, ""calibration_uncertainty_risk"": 91.66666666666667, ""cross_instrument_market_hostility"": 25.158902205705427, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""24_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 53.66118471461075, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-18T10:25:33.860709+05:30""}}"
20260818102546615138-6,2026-08-18T10:25:46.615138+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260818_102402,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 22_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 49.886028907803286, ""calibration_uncertainty_risk"": 90.9090909090909, ""cross_instrument_market_hostility"": 24.620833105911007, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""22_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 51.94112839358757, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-18T10:25:46.615138+05:30""}}"
20260818102607926983-1,2026-08-18T10:26:07.926983+05:30,DAILY_MODE_CONTEXT,20260818_102607,,,,,,INDEX:,daily_mode_operator_control,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""computed_mode"": ""NORMAL"", ""effective_mode"": ""NORMAL"", ""path"": ""uploads\\DAILY_MODE.txt"", ""reason"": ""Daily mode is for 2026-08-17, not 2026-08-18"", ""status"": ""STALE""}"
20260818102635783495-2,2026-08-18T10:26:35.783495+05:30,INCIDENT_ENTRY_BLOCK,20260818_102607,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: OptionChainParseError: Missing CE at strike 3040.0; reconnect stabilization in progress""}"
20260818102646727922-3,2026-08-18T10:26:46.727922+05:30,INCIDENT_ENTRY_BLOCK,20260818_102607,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: OptionChainParseError: Missing CE at strike 3040.0; reconnect stabilization in progress""}"
20260818102709649656-4,2026-08-18T10:27:09.649656+05:30,INCIDENT_ENTRY_BLOCK,20260818_102607,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: OptionChainParseError: Missing CE at strike 3040.0; reconnect stabilization in progress""}"
