skip_id,timestamp,ranking_cycle_id,underlying,option_type,rank,OpportunityScore,ComparableOpportunityScore,DynamicExcellentThreshold,gate_snapshot_id,gate_features_json,required_stop_points,entry_mid,DirectionScore,TradeQualityScore,ContractQualityScore,PremiumElasticity,ExpectedMove,RequiredMove,ExpectedRequiredRatio,IVCrushRiskScore,MarketHostilityScore,RegimeConfidence,DataHealthStatus,hard_stop_fit,veto_reason,why_not_traded,calibration_status,exchange,instrument_kind,instrument_class,instrument_id,lifecycle_state,exposure_group,calibrated_success_probability,calibrated_net_expectancy_r,strategy_version,score_version,universe_version,parameter_profile
202608181025_1_MIDCPNIFTY_PE,2026-08-18T04:55:34.002615+00:00,202608181025,MIDCPNIFTY,PE,1,43.81571623945469,43.81571623945469,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.4808980973825128, ""excellent_score_min"": 43.81571623945469, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 74.31545495036369, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.068256666610594, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7220216606498157, ""trade_quality_min"": 8.644400785854371}",15.235000000000003,76.17500000000001,1.4808980973825128,8.644400785854371,0,0.3,128.78125,118.875,1.0833333333333333,24.0,21.068256666610594,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.5 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.5 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181025_2_MIDCPNIFTY_CE,2026-08-18T04:55:34.009044+00:00,202608181025,MIDCPNIFTY,CE,2,43.54915458192583,43.54915458192583,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.54915458192583, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 73.87118552114893, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.068256666610594, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6172839506172781, ""trade_quality_min"": 8.644400785854371}",19.44,97.2,-1.4808980973825128,8.644400785854371,0,0.3,128.78125,118.875,1.0833333333333333,24.0,21.068256666610594,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.5 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.5 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181025_3_BAJFINANCE_CE,2026-08-18T04:55:34.010002+00:00,202608181025,BAJFINANCE,CE,3,34.090402009688475,34.090402009688475,87.0,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 11.720538412234312, ""excellent_score_min"": 34.090402009688475, ""execution_quality_min"": 58.57588357588399, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 76.0996608034158, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.72810947548156, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.6632016632016573, ""trade_quality_min"": 63.99999999999818}",4.8100000000000005,24.05,11.720538412234312,63.99999999999818,0,0.7,20.474999999999998,17.55,1.1666666666666665,24.0,25.72810947548156,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 11.7 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 58.6 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 11.7 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 58.6 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,direction=UNVALIDATED;liquidity=UNVALIDATED,NSE,STOCK,NSE_STOCK_OPTION,BAJFINANCE,PAPER_ELIGIBLE,STOCK:BAJFINANCE,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181025_4_BAJFINANCE_PE,2026-08-18T04:55:34.010838+00:00,202608181025,BAJFINANCE,PE,4,29.972274646688774,29.972274646688774,87.0,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 29.972274646688774, ""execution_quality_min"": 46.559633027522636, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 70.52357061431215, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.72810947548156, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.8348623853211052, ""trade_quality_min"": 63.99999999999818}",3.2700000000000005,16.35,-11.720538412234312,63.99999999999818,0,0.7,20.474999999999998,17.55,1.1666666666666665,24.0,25.72810947548156,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.7 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 46.6 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.7 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 46.6 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,direction=UNVALIDATED;liquidity=UNVALIDATED,NSE,STOCK,NSE_STOCK_OPTION,BAJFINANCE,PAPER_ELIGIBLE,STOCK:BAJFINANCE,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181025_5_BAJAJFINSV_PE,2026-08-18T04:55:34.011536+00:00,202608181025,BAJAJFINSV,PE,5,28.323008719232348,28.323008719232348,87.0,e97256bacfa6,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 28.323008719232348, ""execution_quality_min"": 77.98733286418035, ""expected_required_ratio_min"": 1.1666666666666667, ""final_confidence_min"": 71.64324789279416, ""iv_crush_max"": 24.0, ""market_hostility_max"": 26.25035365386862, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.313628899835792, ""trade_quality_min"": 38.62068965517209}",6.09,30.45,-11.196081371519785,38.62068965517209,0,0.7,34.2825,29.384999999999998,1.1666666666666667,24.0,26.25035365386862,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.2 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 78.0 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.2 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 78.0 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,direction=UNVALIDATED;liquidity=UNVALIDATED,NSE,STOCK,NSE_STOCK_OPTION,BAJAJFINSV,PAPER_ELIGIBLE,STOCK:BAJAJFINSV,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181027_1_BANKNIFTY_CE,2026-08-18T04:57:29.455499+00:00,202608181027,BANKNIFTY,CE,1,55.132582784028656,55.132582784028656,80.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 6.416964807067332, ""excellent_score_min"": 55.132582784028656, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 85.52115928589099, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.929026678585117, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.11554015020219525, ""trade_quality_min"": 43.52871521610295}",86.55000000000001,432.75,6.416964807067332,43.52871521610295,0,0.3,690.0725,487.11,1.4166666666666665,24.0,20.929026678585117,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 6.4 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.42 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 62.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 6.4 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.42 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 62.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181027_2_MIDCPNIFTY_PE,2026-08-18T04:57:29.456498+00:00,202608181027,MIDCPNIFTY,PE,2,45.66752178483632,45.66752178483632,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9152209316404843, ""excellent_score_min"": 45.66752178483632, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 73.17690578125442, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.745077168706762, ""trade_quality_min"": 5.132075471694467}",18.79,93.94999999999999,0.9152209316404843,5.132075471694467,0,0.7,129.025,119.1,1.0833333333333335,24.0,20.953883203835286,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.9 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 75.8 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.9 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 75.8 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181027_3_MIDCPNIFTY_CE,2026-08-18T04:57:29.456971+00:00,202608181027,MIDCPNIFTY,CE,3,42.602782017141024,42.602782017141024,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 42.602782017141024, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.90233950176227, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6893156080748427, ""trade_quality_min"": 5.132075471694467}",20.310000000000002,101.55000000000001,-0.9152209316404843,5.132075471694467,0,0.3,129.025,119.1,1.0833333333333335,24.0,20.953883203835286,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -0.9 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -0.9 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181027_4_MIDCPNIFTY_PE,2026-08-18T04:57:29.457412+00:00,202608181027,MIDCPNIFTY,PE,4,41.76283794408687,41.76283794408687,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9152209316404843, ""excellent_score_min"": 41.76283794408687, ""execution_quality_min"": 93.30210772833706, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 73.17690578125442, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.9562841530054685, ""trade_quality_min"": 5.132075471694467}",14.639999999999999,73.19999999999999,0.9152209316404843,5.132075471694467,0,0.3,129.025,119.1,1.0833333333333335,24.0,20.953883203835286,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.9 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.9 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 61.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608181027_5_BAJFINANCE_CE,2026-08-18T04:57:29.458358+00:00,202608181027,BAJFINANCE,CE,5,36.56935695076046,36.56935695076046,87.0,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 23.428205362862965, ""excellent_score_min"": 36.56935695076046, ""execution_quality_min"": 59.93150684931615, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 77.07767709137934, ""iv_crush_max"": 24.0, ""market_hostility_max"": 27.40989141345074, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.6438356164383408, ""trade_quality_min"": 67.36842105263335}",3.6500000000000004,18.25,23.428205362862965,67.36842105263335,0,0.7,20.439999999999998,17.52,1.1666666666666665,24.0,27.40989141345074,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 23.4 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 59.9 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 23.4 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 59.9 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,direction=UNVALIDATED;liquidity=UNVALIDATED,NSE,STOCK,NSE_STOCK_OPTION,BAJFINANCE,PAPER_ELIGIBLE,STOCK:BAJFINANCE,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
