skip_id,window_minutes,observed_at,underlying,instrument_id,instrument_class,gate_snapshot_id,gate_features_json,ComparableOpportunityScore,strategy_version,score_version,parameter_profile,source,future_bid,future_ask,mfe_points,mae_points,would_have_hit_target,would_have_hit_stop,forward_r_multiple,status,reason,evidence_profile
202608181025_1_MIDCPNIFTY_PE,5,2026-08-18T10:30:52.511800+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.4808980973825128, ""excellent_score_min"": 43.81571623945469, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 74.31545495036369, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.068256666610594, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7220216606498157, ""trade_quality_min"": 8.644400785854371}",43.81571623945469,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,71.05,71.7,0.0,-5.125000000000014,False,False,-0.3363964555300304,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181025_2_MIDCPNIFTY_CE,5,2026-08-18T10:30:52.511800+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.54915458192583, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 73.87118552114893, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.068256666610594, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6172839506172781, ""trade_quality_min"": 8.644400785854371}",43.54915458192583,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,101.9,102.9,4.700000000000003,0.0,False,False,0.241769547325103,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181025_3_BAJFINANCE_CE,5,2026-08-18T10:30:52.511800+05:30,BAJFINANCE,BAJFINANCE,NSE_STOCK_OPTION,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 11.720538412234312, ""excellent_score_min"": 34.090402009688475, ""execution_quality_min"": 58.57588357588399, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 76.0996608034158, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.72810947548156, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.6632016632016573, ""trade_quality_min"": 63.99999999999818}",34.090402009688475,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181025_4_BAJFINANCE_PE,5,2026-08-18T10:30:52.511800+05:30,BAJFINANCE,BAJFINANCE,NSE_STOCK_OPTION,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 29.972274646688774, ""execution_quality_min"": 46.559633027522636, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 70.52357061431215, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.72810947548156, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.8348623853211052, ""trade_quality_min"": 63.99999999999818}",29.972274646688774,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181025_5_BAJAJFINSV_PE,5,2026-08-18T10:30:52.511800+05:30,BAJAJFINSV,BAJAJFINSV,NSE_STOCK_OPTION,e97256bacfa6,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 28.323008719232348, ""execution_quality_min"": 77.98733286418035, ""expected_required_ratio_min"": 1.1666666666666667, ""final_confidence_min"": 71.64324789279416, ""iv_crush_max"": 24.0, ""market_hostility_max"": 26.25035365386862, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.313628899835792, ""trade_quality_min"": 38.62068965517209}",28.323008719232348,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608181027_1_BANKNIFTY_CE,5,2026-08-18T10:32:34.271875+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 6.416964807067332, ""excellent_score_min"": 55.132582784028656, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 85.52115928589099, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.929026678585117, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.11554015020219525, ""trade_quality_min"": 43.52871521610295}",55.132582784028656,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,421.05,422.5,0.0,-11.699999999999989,False,False,-0.4679999999999995,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181027_2_MIDCPNIFTY_PE,5,2026-08-18T10:32:34.271875+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9152209316404843, ""excellent_score_min"": 45.66752178483632, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 73.17690578125442, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.745077168706762, ""trade_quality_min"": 5.132075471694467}",45.66752178483632,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,91.75,92.4,0.0,-2.1999999999999886,False,False,-0.11708355508249009,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181027_3_MIDCPNIFTY_CE,5,2026-08-18T10:32:34.271875+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 42.602782017141024, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.90233950176227, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6893156080748427, ""trade_quality_min"": 5.132075471694467}",42.602782017141024,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,101.65,102.2,0.09999999999999432,0.0,False,False,0.004923682914820005,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181027_4_MIDCPNIFTY_PE,5,2026-08-18T10:32:34.271875+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9152209316404843, ""excellent_score_min"": 41.76283794408687, ""execution_quality_min"": 93.30210772833706, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 73.17690578125442, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.9562841530054685, ""trade_quality_min"": 5.132075471694467}",41.76283794408687,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,70.85,71.35,0.0,-2.3499999999999943,False,False,-0.16051912568305973,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608181027_5_BAJFINANCE_CE,5,2026-08-18T10:32:34.271875+05:30,BAJFINANCE,BAJFINANCE,NSE_STOCK_OPTION,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 23.428205362862965, ""excellent_score_min"": 36.56935695076046, ""execution_quality_min"": 59.93150684931615, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 77.07767709137934, ""iv_crush_max"": 24.0, ""market_hostility_max"": 27.40989141345074, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.6438356164383408, ""trade_quality_min"": 67.36842105263335}",36.56935695076046,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
