event_id,ts,event_type,session_id,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,decision_source,strategy_version,score_version,universe_version,parameter_profile,payload_json
20260820102430231217-1,2026-08-20T10:24:30.231217+05:30,DAILY_MODE_CONTEXT,20260820_102429,,,,,,INDEX:,daily_mode_operator_control,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""computed_mode"": ""NORMAL"", ""effective_mode"": ""NORMAL"", ""path"": ""uploads\\DAILY_MODE.txt"", ""reason"": ""Daily mode is for 2026-08-17, not 2026-08-20"", ""status"": ""STALE""}"
20260820102615860496-2,2026-08-20T10:26:15.860496+05:30,DATA_HEALTH_ALERT,20260820_102429,NIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.860496+05:30"", ""last_reason"": ""Option chain stale 39.08s; Candidate option quote stale 37.86s; Candidate option quote stale 37.86s; Candidate option quote stale 40.86s; Candidate option quote stale 38.86s; Candidate option quote stale 37.86s; Candidate option quote stale 37.86s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615870331-3,2026-08-20T10:26:15.870331+05:30,DATA_HEALTH_ALERT,20260820_102429,BANKNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.870331+05:30"", ""last_reason"": ""Option chain stale 39.09s; Candidate option quote stale 35.87s; Candidate option quote stale 34.87s; Candidate option quote stale 37.87s; Candidate option quote stale 35.87s; Candidate option quote stale 35.87s; Candidate option quote stale 35.87s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615873982-4,2026-08-20T10:26:15.873982+05:30,DATA_HEALTH_ALERT,20260820_102429,FINNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:FINANCIALS,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.873982+05:30"", ""last_reason"": ""Option chain stale 39.09s; Candidate option quote stale 41.87s; Candidate option quote stale 37.87s; Candidate option quote stale 68.87s; Candidate option quote stale 62.87s; Candidate option quote stale 30.87s; Candidate option quote stale 172.87s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615876429-5,2026-08-20T10:26:15.876429+05:30,DATA_HEALTH_ALERT,20260820_102429,MIDCPNIFTY,NSE,INDEX,NSE_INDEX,,INDEX:MIDCAP,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.876429+05:30"", ""last_reason"": ""Option chain stale 39.10s; Candidate option quote stale 38.87s; Candidate option quote stale 33.88s; Candidate option quote stale 42.88s; Candidate option quote stale 58.88s; Candidate option quote stale 240.88s; Candidate option quote stale 86.88s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615878760-6,2026-08-20T10:26:15.878760+05:30,DATA_HEALTH_ALERT,20260820_102429,SENSEX,BSE,INDEX,BSE_INDEX,,INDEX:BSE_BROAD,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.878760+05:30"", ""last_reason"": ""Option chain stale 39.10s; Candidate option quote stale 24.88s; Candidate option quote stale 23.88s; Candidate option quote stale 25.88s; Candidate option quote stale 24.88s; Candidate option quote stale 22.88s; Candidate option quote stale 22.88s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615881526-7,2026-08-20T10:26:15.881526+05:30,DATA_HEALTH_ALERT,20260820_102429,BANKEX,BSE,INDEX,BSE_INDEX,,INDEX:BANKING,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.881526+05:30"", ""last_reason"": ""Option chain stale 39.10s; Candidate option quote stale 3404.88s; Candidate option quote stale 37575.88s; Candidate option quote stale 781.88s; Candidate option quote stale 378.88s; Candidate option quote stale 40.88s; Candidate option quote stale 40.88s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615887992-8,2026-08-20T10:26:15.887992+05:30,DATA_HEALTH_ALERT,20260820_102429,FOCIT,BSE,INDEX,BSE_INDEX,,INDEX:BSE_OTHER,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.887992+05:30"", ""last_reason"": ""Option chain stale 39.11s; Candidate option quote stale 243.88s; Candidate option quote stale 331.89s; Candidate option quote stale 37575.89s; Candidate option quote stale 37575.89s; Candidate option quote stale 37575.89s; Candidate option quote stale 924.89s"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102615890475-9,2026-08-20T10:26:15.890475+05:30,DATA_HEALTH_ALERT,20260820_102429,NIFTYNXT50,NSE,INDEX,NSE_INDEX,,INDEX:BROAD_EQUITY,data_health_orchestrator,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""alert_threshold_cycles"": 2, ""consecutive_bad_cycles"": 2, ""last_bad_at"": ""2026-08-20T10:26:15.890475+05:30"", ""last_reason"": ""Option chain stale 39.11s; Candidate option quote depth unavailable; Candidate option quote depth unavailable; Candidate option quote stale 71412.89s; Candidate option quote stale 74712.89s; Candidate option quote depth unavailable; Candidate option quote depth unavailable"", ""last_valid_at"": """", ""scope"": ""trade"", ""status"": ""ALERT""}"
20260820102709343010-10,2026-08-20T10:27:09.343010+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260820_102429,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 29_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 45.57434475104941, ""calibration_uncertainty_risk"": 65.51724137931035, ""cross_instrument_market_hostility"": 28.06211430448987, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""29_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 50.28187111762585, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-20T10:27:09.343010+05:30""}}"
