skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608201027_1_NIFTY_CE,2026-08-20T04:57:09.429791+00:00,NIFTY,2026-08-25,24200.0,CE,139.77499999999998,139.6,139.95,25.0,2.0,54.42565524895059,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 54.42565524895059, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 80.95748643071246, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.437712744982704, ""min_5depth_lots_each_side"": 85.0, ""min_top_book_lots"": 4.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.25040243248076866, ""trade_quality_min"": 33.08533916850008}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201027_2_NIFTY_CE,2026-08-20T04:57:09.436640+00:00,NIFTY,2026-08-25,24250.0,CE,109.65,109.5,109.8,21.930000000000003,2.0,51.22565524895059,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.22565524895059, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 80.95748643071246, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.437712744982704, ""min_5depth_lots_each_side"": 164.0, ""min_top_book_lots"": 15.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.27359781121750765, ""trade_quality_min"": 33.08533916850008}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201027_3_BANKNIFTY_PE,2026-08-20T04:57:09.437576+00:00,BANKNIFTY,2026-08-25,57700.0,PE,241.65,241.3,242.0,25.0,2.0,49.039996035237436,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.447553962758207, ""excellent_score_min"": 49.039996035237436, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 77.67385002381756, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.405811344244988, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.28967515001034083, ""trade_quality_min"": 19.355723098012774}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201027_4_BANKNIFTY_PE,2026-08-20T04:57:09.438233+00:00,BANKNIFTY,2026-08-25,57800.0,PE,285.825,285.45,286.2,25.0,2.0,48.73999603523743,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.447553962758207, ""excellent_score_min"": 48.73999603523743, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 77.67385002381756, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.405811344244988, ""min_5depth_lots_each_side"": 12.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.26239832065074786, ""trade_quality_min"": 19.355723098012774}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201027_5_BANKNIFTY_PE,2026-08-20T04:57:09.438766+00:00,BANKNIFTY,2026-08-25,57600.0,PE,203.35000000000002,203.05,203.65,25.0,2.0,45.839996035237434,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.447553962758207, ""excellent_score_min"": 45.839996035237434, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 77.67385002381756, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.405811344244988, ""min_5depth_lots_each_side"": 17.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.29505778214900136, ""trade_quality_min"": 19.355723098012774}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201028_1_NIFTY_PE,2026-08-20T04:58:49.456576+00:00,NIFTY,2026-08-25,24250.0,PE,87.425,87.3,87.55,17.485,2.0,53.93627731434667,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 2.7415811986983347, ""excellent_score_min"": 53.93627731434667, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 81.09096068211085, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.407302075697075, ""min_5depth_lots_each_side"": 371.0, ""min_top_book_lots"": 56.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.28595939376608526, ""trade_quality_min"": 30.599078341020373}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201028_2_NIFTY_CE,2026-08-20T04:58:49.457274+00:00,NIFTY,2026-08-25,24200.0,CE,136.7,136.55,136.85,25.0,2.0,53.742792698580956,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 53.742792698580956, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 80.26848632250136, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.407302075697075, ""min_5depth_lots_each_side"": 126.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.21945866861739793, ""trade_quality_min"": 30.599078341020373}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201028_3_NIFTY_CE,2026-08-20T04:58:49.457932+00:00,NIFTY,2026-08-25,24150.0,CE,170.325,170.1,170.55,25.0,2.0,53.44279269858096,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 53.44279269858096, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 80.26848632250136, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.407302075697075, ""min_5depth_lots_each_side"": 92.0, ""min_top_book_lots"": 17.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2642007926023878, ""trade_quality_min"": 30.599078341020373}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201028_4_NIFTY_CE,2026-08-20T04:58:49.458511+00:00,NIFTY,2026-08-25,24250.0,CE,107.1,106.95,107.25,21.42,2.0,50.54279269858095,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 50.54279269858095, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 80.26848632250136, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.407302075697075, ""min_5depth_lots_each_side"": 172.0, ""min_top_book_lots"": 25.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2801120448179245, ""trade_quality_min"": 30.599078341020373}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608201028_5_BANKNIFTY_PE,2026-08-20T04:58:49.458970+00:00,BANKNIFTY,2026-08-25,57700.0,PE,248.325,248.2,248.45,25.0,2.0,48.24997495120162,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.039283961621836, ""excellent_score_min"": 48.24997495120162, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 76.84589259424425, ""iv_crush_max"": 24.0, ""market_hostility_max"": 22.43402760986758, ""min_5depth_lots_each_side"": 17.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.10067451927917045, ""trade_quality_min"": 16.800000000003244}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
