skip_id,timestamp,ranking_cycle_id,underlying,option_type,rank,OpportunityScore,ComparableOpportunityScore,DynamicExcellentThreshold,gate_snapshot_id,gate_features_json,required_stop_points,entry_mid,DirectionScore,TradeQualityScore,ContractQualityScore,PremiumElasticity,ExpectedMove,RequiredMove,ExpectedRequiredRatio,IVCrushRiskScore,MarketHostilityScore,RegimeConfidence,DataHealthStatus,hard_stop_fit,veto_reason,why_not_traded,calibration_status,exchange,instrument_kind,instrument_class,instrument_id,lifecycle_state,exposure_group,calibrated_success_probability,calibrated_net_expectancy_r,strategy_version,score_version,universe_version,parameter_profile
202608241225_1_FINNIFTY_PE,2026-08-24T06:55:53.953164+00:00,202608241225,FINNIFTY,PE,1,52.21116605774306,52.21116605774306,80.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 1.835458769095463, ""excellent_score_min"": 52.21116605774306, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 80.39807330638003, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7523510971786763, ""trade_quality_min"": 28.74251497005237}",15.950000000000001,79.75,1.835458769095463,28.74251497005237,0,0.5,140.25,112.2,1.25,28.5,20.30635532308942,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.8 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.8 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241225_2_FINNIFTY_CE,2026-08-24T06:55:53.963196+00:00,202608241225,FINNIFTY,CE,2,51.880783479305876,51.880783479305876,80.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.880783479305876, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 79.8474356756514, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 5.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.3656307129798903, ""trade_quality_min"": 28.74251497005237}",27.35,136.75,-1.835458769095463,28.74251497005237,0,0.7,140.25,112.2,1.25,28.5,20.30635532308942,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.8 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.8 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241225_3_FINNIFTY_CE,2026-08-24T06:55:53.963846+00:00,202608241225,FINNIFTY,CE,3,49.066502172830866,49.066502172830866,80.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 49.066502172830866, ""execution_quality_min"": 99.90479129016663, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 79.8474356756514, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8022215365627787, ""trade_quality_min"": 28.74251497005237}",16.205000000000002,81.025,-1.835458769095463,28.74251497005237,0,0.3,140.25,112.2,1.25,28.5,20.30635532308942,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.8 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 57.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.8 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 57.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241225_4_MIDCPNIFTY_CE,2026-08-24T06:55:53.964391+00:00,202608241225,MIDCPNIFTY,CE,4,48.73465380199522,48.73465380199522,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 2.474606702284164, ""excellent_score_min"": 48.73465380199522, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.4469485810993, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.458786831684968, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5286343612334752, ""trade_quality_min"": 18.58585858585562}",11.350000000000001,56.75,2.474606702284164,18.58585858585562,0,0.5,62.725,57.9,1.0833333333333335,28.5,20.458786831684968,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241225_5_MIDCPNIFTY_CE,2026-08-24T06:55:53.964890+00:00,202608241225,MIDCPNIFTY,CE,5,48.73465380199522,48.73465380199522,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 2.474606702284164, ""excellent_score_min"": 48.73465380199522, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.4469485810993, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.458786831684968, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6858710562414266, ""trade_quality_min"": 18.58585858585562}",14.580000000000002,72.9,2.474606702284164,18.58585858585562,0,0.7,62.725,57.9,1.0833333333333335,28.5,20.458786831684968,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.5 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.5 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241227_1_NIFTY_CE,2026-08-24T06:57:04.251051+00:00,202608241227,NIFTY,CE,1,53.648725769531154,53.648725769531154,80.0,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9590145298973458, ""excellent_score_min"": 53.648725769531154, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 79.73687543530399, ""iv_crush_max"": 28.5, ""market_hostility_max"": 18.763793054754544, ""min_5depth_lots_each_side"": 136.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.24697456162015313, ""trade_quality_min"": 26.97674418606461}",20.245,101.225,0.9590145298973458,26.97674418606461,0,0.7,100.08,75.05999999999999,1.3333333333333335,28.5,18.763793054754544,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.33 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,NIFTY,PAPER_ELIGIBLE,INDEX:BROAD_EQUITY,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241227_2_FINNIFTY_PE,2026-08-24T06:57:04.251589+00:00,202608241227,FINNIFTY,PE,2,47.417743034006804,47.417743034006804,80.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.917775007456922, ""excellent_score_min"": 47.417743034006804, ""execution_quality_min"": 96.54986522911113, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 75.84819256690658, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.331976751969705, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8805031446540738, ""trade_quality_min"": 14.03508771929347}",15.9,79.5,0.917775007456922,14.03508771929347,0,0.5,139.2375,111.39,1.25,28.5,20.331976751969705,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.9 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.9 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.25 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241227_3_MIDCPNIFTY_CE,2026-08-24T06:57:04.252130+00:00,202608241227,MIDCPNIFTY,CE,3,46.8426371754036,46.8426371754036,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.452276578005491, ""excellent_score_min"": 46.8426371754036, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 75.42069862955609, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.359953839862186, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5244755244755319, ""trade_quality_min"": 12.342857142850873}",11.440000000000001,57.2,1.452276578005491,12.342857142850873,0,0.5,63.050000000000004,58.199999999999996,1.0833333333333335,28.5,20.359953839862186,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241227_4_MIDCPNIFTY_PE,2026-08-24T06:57:04.252678+00:00,202608241227,MIDCPNIFTY,PE,4,46.58122739136261,46.58122739136261,90.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 46.58122739136261, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 74.98501565615445, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.359953839862186, ""min_5depth_lots_each_side"": 21.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5870841487279788, ""trade_quality_min"": 12.342857142850873}",10.22,51.1,-1.452276578005491,12.342857142850873,0,0.7,63.050000000000004,58.199999999999996,1.0833333333333335,28.5,20.359953839862186,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.5 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.5 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.08 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 70.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608241227_5_BANKNIFTY_PE,2026-08-24T06:57:04.253172+00:00,202608241227,BANKNIFTY,PE,5,45.709106990440326,45.709106990440326,80.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.48107425973786194, ""excellent_score_min"": 45.709106990440326, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 73.60906150796295, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.833509093940826, ""min_5depth_lots_each_side"": 19.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2675943270002676, ""trade_quality_min"": 6.78966789667421}",37.37,186.85,0.48107425973786194,6.78966789667421,0,0.5,334.22,235.92000000000002,1.4166666666666667,28.5,20.833509093940826,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.42 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 0.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.42 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 71.4 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
