skip_id,timestamp,ranking_cycle_id,underlying,option_type,rank,OpportunityScore,ComparableOpportunityScore,DynamicExcellentThreshold,gate_snapshot_id,gate_features_json,required_stop_points,entry_mid,DirectionScore,TradeQualityScore,ContractQualityScore,PremiumElasticity,ObservedElasticityStatus,ObservedElasticityDeltaAdjusted,ExpectedValue_R,ExpectedValueStatus,SameDirectionRecentLoss,ExpectedMove,RequiredMove,ExpectedRequiredRatio,IVCrushRiskScore,MarketHostilityScore,RegimeConfidence,DataHealthStatus,hard_stop_fit,veto_reason,why_not_traded,calibration_status,exchange,instrument_kind,instrument_class,instrument_id,lifecycle_state,exposure_group,calibrated_success_probability,calibrated_net_expectancy_r,strategy_version,score_version,universe_version,parameter_profile
202608251008_1_MIDCPNIFTY_CE,2026-08-25T04:38:59.875214+00:00,202608251008,MIDCPNIFTY,CE,1,55.37017303573068,55.37017303573068,95.0,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 55.37017303573068, ""execution_quality_min"": 99.05377065682396, ""expected_required_ratio_min"": 1.6911188809959763, ""final_confidence_min"": 88.00564493125911, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.16026300627911, ""min_5depth_lots_each_side"": 24.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8220786846741077, ""trade_quality_min"": 59.130434782603814}",8.515,42.575,-8.223236690146841,59.130434782603814,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,59.231438806884064,35.025,1.6911188809959763,29.5,22.16026300627911,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.2 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.2 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,MIDCPNIFTY,PAPER_ELIGIBLE,INDEX:MIDCAP,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251008_2_BANKNIFTY_PE,2026-08-25T04:38:59.876833+00:00,202608251008,BANKNIFTY,PE,2,44.07798794785053,44.07798794785053,85.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.059352486703319, ""excellent_score_min"": 44.07798794785053, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 76.4949187041408, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 62.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.3693444136657486, ""trade_quality_min"": 15.62005277045102}",21.66,108.3,2.059352486703319,15.62005277045102,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,299.4330615392502,135.03,2.2175298936477095,29.5,23.017679952727196,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251008_3_BANKNIFTY_PE,2026-08-25T04:38:59.877411+00:00,202608251008,BANKNIFTY,PE,3,44.07798794785053,44.07798794785053,85.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.059352486703319, ""excellent_score_min"": 44.07798794785053, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 76.4949187041408, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.21286300745020176, ""trade_quality_min"": 15.62005277045102}",32.885000000000005,164.425,2.059352486703319,15.62005277045102,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,299.4330615392502,135.03,2.2175298936477095,29.5,23.017679952727196,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251008_4_BANKNIFTY_CE,2026-08-25T04:38:59.877962+00:00,202608251008,BANKNIFTY,CE,4,43.707304500243936,43.707304500243936,85.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.707304500243936, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 75.87711295812981, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 38.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.25695931477517037, ""trade_quality_min"": 15.62005277045102}",23.35,116.75,-2.059352486703319,15.62005277045102,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,299.4330615392502,135.03,2.2175298936477095,29.5,23.017679952727196,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251008_5_BANKNIFTY_CE,2026-08-25T04:38:59.878512+00:00,202608251008,BANKNIFTY,CE,5,43.707304500243936,43.707304500243936,85.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.707304500243936, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 75.87711295812981, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.28360748723766305, ""trade_quality_min"": 15.62005277045102}",35.260000000000005,176.3,-2.059352486703319,15.62005277045102,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,299.4330615392502,135.03,2.2175298936477095,29.5,23.017679952727196,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251010_1_BANKNIFTY_PE,2026-08-25T04:40:14.796949+00:00,202608251010,BANKNIFTY,PE,1,48.64482766650403,48.64482766650403,85.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 3.5963184689559, ""excellent_score_min"": 48.64482766650403, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2026038472013205, ""final_confidence_min"": 81.16969059594935, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.356499405757063, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2748511223087425, ""trade_quality_min"": 30.434142752019877}",32.745,163.725,3.5963184689559,30.434142752019877,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,298.2435739302948,135.405,2.2026038472013205,29.5,22.356499405757063,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251010_2_BANKNIFTY_CE,2026-08-25T04:40:14.797711+00:00,202608251010,BANKNIFTY,CE,2,47.997490342091965,47.997490342091965,85.0,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 47.997490342091965, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2026038472013205, ""final_confidence_min"": 80.09079505526257, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.356499405757063, ""min_5depth_lots_each_side"": 23.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2517130471262697, ""trade_quality_min"": 30.434142752019877}",35.755,178.775,-3.5963184689559,30.434142752019877,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,298.2435739302948,135.405,2.2026038472013205,29.5,22.356499405757063,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,BANKNIFTY,PAPER_ELIGIBLE,INDEX:BANKING,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251010_3_FINNIFTY_PE,2026-08-25T04:40:14.798375+00:00,202608251010,FINNIFTY,PE,3,40.22695687967825,40.22695687967825,85.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9649275634243304, ""excellent_score_min"": 40.22695687967825, ""execution_quality_min"": 92.94441892512623, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.49089298066816, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 17.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.964630225080388, ""trade_quality_min"": 6.153846153848341}",12.440000000000001,62.2,0.9649275634243304,6.153846153848341,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,119.53581204604723,67.05,1.7827861602691608,29.5,22.863983720532957,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251010_4_FINNIFTY_CE,2026-08-25T04:40:14.798944+00:00,202608251010,FINNIFTY,CE,4,40.068897212040895,40.068897212040895,85.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 40.068897212040895, ""execution_quality_min"": 93.0486008836531, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.20141471164085, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.9621993127147611, ""trade_quality_min"": 6.153846153848341}",14.55,72.75,-0.9649275634243304,6.153846153848341,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,119.53581204604723,67.05,1.7827861602691608,29.5,22.863983720532957,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
202608251010_5_FINNIFTY_PE,2026-08-25T04:40:14.799444+00:00,202608251010,FINNIFTY,PE,5,39.803975359590524,39.803975359590524,85.0,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9649275634243304, ""excellent_score_min"": 39.803975359590524, ""execution_quality_min"": 90.32967032966971, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.18320067297569, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 14.0, ""min_top_book_lots"": 4.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.0256410256410402, ""trade_quality_min"": 6.153846153848341}",7.800000000000001,39.0,0.9649275634243304,6.153846153848341,0,0.0,UNAVAILABLE,,0.0,UNVALIDATED_COST_MODEL,False,119.53581204604723,67.05,1.7827861602691608,29.5,22.863983720532957,60.0,INVALID,True,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,direction=OBSERVED;liquidity=OBSERVED,NSE,INDEX,NSE_INDEX,FINNIFTY,PAPER_ELIGIBLE,INDEX:FINANCIALS,,,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
