skip_id,window_minutes,observed_at,underlying,instrument_id,instrument_class,gate_snapshot_id,gate_features_json,ComparableOpportunityScore,side,veto_reason,why_not_traded,setup_type,expected_value_r,expected_value_status,observed_elasticity_status,strategy_version,score_version,parameter_profile,source,future_bid,future_ask,mfe_points,mae_points,would_have_hit_target,would_have_hit_stop,forward_r_multiple,status,reason,evidence_profile
202608251008_1_MIDCPNIFTY_CE,5,2026-08-25T10:14:10.028369+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 55.37017303573068, ""execution_quality_min"": 99.05377065682396, ""expected_required_ratio_min"": 1.6911188809959763, ""final_confidence_min"": 88.00564493125911, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.16026300627911, ""min_5depth_lots_each_side"": 24.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8220786846741077, ""trade_quality_min"": 59.130434782603814}",55.37017303573068,CE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.2 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.2 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,42.25,42.45,0.0,-0.32500000000000284,False,False,-0.038167938931298044,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251008_2_BANKNIFTY_PE,5,2026-08-25T10:14:10.028369+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.059352486703319, ""excellent_score_min"": 44.07798794785053, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 76.4949187041408, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 62.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.3693444136657486, ""trade_quality_min"": 15.62005277045102}",44.07798794785053,PE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,104.3,104.6,0.0,-4.0,False,False,-0.18467220683287164,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251008_3_BANKNIFTY_PE,5,2026-08-25T10:14:10.028369+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.059352486703319, ""excellent_score_min"": 44.07798794785053, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 76.4949187041408, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.21286300745020176, ""trade_quality_min"": 15.62005277045102}",44.07798794785053,PE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,161.1,161.55,0.0,-3.325000000000017,False,False,-0.13300000000000067,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251008_4_BANKNIFTY_CE,5,2026-08-25T10:14:10.028369+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.707304500243936, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 75.87711295812981, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 38.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.25695931477517037, ""trade_quality_min"": 15.62005277045102}",43.707304500243936,CE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,115.0,115.25,0.0,-1.75,False,False,-0.07494646680942184,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251008_5_BANKNIFTY_CE,5,2026-08-25T10:14:10.028369+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.707304500243936, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 75.87711295812981, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.28360748723766305, ""trade_quality_min"": 15.62005277045102}",43.707304500243936,CE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,175.45,176.05,0.0,-0.8500000000000227,False,False,-0.03400000000000091,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251010_1_BANKNIFTY_PE,5,2026-08-25T10:15:24.742325+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 3.5963184689559, ""excellent_score_min"": 48.64482766650403, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2026038472013205, ""final_confidence_min"": 81.16969059594935, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.356499405757063, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2748511223087425, ""trade_quality_min"": 30.434142752019877}",48.64482766650403,PE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,171.25,171.9,7.525000000000006,0.0,False,False,0.3010000000000002,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251010_2_BANKNIFTY_CE,5,2026-08-25T10:15:24.742325+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 47.997490342091965, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2026038472013205, ""final_confidence_min"": 80.09079505526257, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.356499405757063, ""min_5depth_lots_each_side"": 23.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2517130471262697, ""trade_quality_min"": 30.434142752019877}",47.997490342091965,CE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,166.55,167.0,0.0,-12.224999999999994,False,False,-0.48899999999999977,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251010_3_FINNIFTY_PE,5,2026-08-25T10:15:24.742325+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9649275634243304, ""excellent_score_min"": 40.22695687967825, ""execution_quality_min"": 92.94441892512623, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.49089298066816, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 17.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.964630225080388, ""trade_quality_min"": 6.153846153848341}",40.22695687967825,PE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,59.15,59.65,0.0,-3.0500000000000043,False,False,-0.2451768488745984,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251010_4_FINNIFTY_CE,5,2026-08-25T10:15:24.742325+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 40.068897212040895, ""execution_quality_min"": 93.0486008836531, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.20141471164085, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.9621993127147611, ""trade_quality_min"": 6.153846153848341}",40.068897212040895,CE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,74.9,75.5,2.1500000000000057,0.0,False,False,0.14776632302405537,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608251010_5_FINNIFTY_PE,5,2026-08-25T10:15:24.742325+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9649275634243304, ""excellent_score_min"": 39.803975359590524, ""execution_quality_min"": 90.32967032966971, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.18320067297569, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 14.0, ""min_top_book_lots"": 4.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.0256410256410402, ""trade_quality_min"": 6.153846153848341}",39.803975359590524,PE,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,35.7,36.1,0.0,-3.299999999999997,False,False,-0.4230769230769227,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
