skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version,veto_reason,why_not_traded,expected_value_r,expected_value_status,observed_elasticity_status
202608251008_1_MIDCPNIFTY_CE,2026-08-25T04:38:59.875214+00:00,MIDCPNIFTY,2026-08-25,14850.0,CE,42.575,42.4,42.75,8.515,2.0,55.37017303573068,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 55.37017303573068, ""execution_quality_min"": 99.05377065682396, ""expected_required_ratio_min"": 1.6911188809959763, ""final_confidence_min"": 88.00564493125911, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.16026300627911, ""min_5depth_lots_each_side"": 24.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8220786846741077, ""trade_quality_min"": 59.130434782603814}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.2 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -8.2 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251008_2_BANKNIFTY_PE,2026-08-25T04:38:59.876833+00:00,BANKNIFTY,2026-08-25,57500.0,PE,108.3,108.1,108.5,21.66,2.0,44.07798794785053,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.059352486703319, ""excellent_score_min"": 44.07798794785053, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 76.4949187041408, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 62.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.3693444136657486, ""trade_quality_min"": 15.62005277045102}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251008_3_BANKNIFTY_PE,2026-08-25T04:38:59.877411+00:00,BANKNIFTY,2026-08-25,57600.0,PE,164.425,164.25,164.6,25.0,2.0,44.07798794785053,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 2.059352486703319, ""excellent_score_min"": 44.07798794785053, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 76.4949187041408, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.21286300745020176, ""trade_quality_min"": 15.62005277045102}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251008_4_BANKNIFTY_CE,2026-08-25T04:38:59.877962+00:00,BANKNIFTY,2026-08-25,57500.0,CE,116.75,116.6,116.9,23.35,2.0,43.707304500243936,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.707304500243936, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 75.87711295812981, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 38.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.25695931477517037, ""trade_quality_min"": 15.62005277045102}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251008_5_BANKNIFTY_CE,2026-08-25T04:38:59.878512+00:00,BANKNIFTY,2026-08-25,57400.0,CE,176.3,176.05,176.55,25.0,2.0,43.707304500243936,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.707304500243936, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2175298936477095, ""final_confidence_min"": 75.87711295812981, ""iv_crush_max"": 29.5, ""market_hostility_max"": 23.017679952727196, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.28360748723766305, ""trade_quality_min"": 15.62005277045102}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -2.1 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251010_1_BANKNIFTY_PE,2026-08-25T04:40:14.796949+00:00,BANKNIFTY,2026-08-25,57600.0,PE,163.725,163.5,163.95,25.0,2.0,48.64482766650403,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 3.5963184689559, ""excellent_score_min"": 48.64482766650403, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2026038472013205, ""final_confidence_min"": 81.16969059594935, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.356499405757063, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2748511223087425, ""trade_quality_min"": 30.434142752019877}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251010_2_BANKNIFTY_CE,2026-08-25T04:40:14.797711+00:00,BANKNIFTY,2026-08-25,57400.0,CE,178.775,178.55,179.0,25.0,2.0,47.997490342091965,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 47.997490342091965, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 2.2026038472013205, ""final_confidence_min"": 80.09079505526257, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.356499405757063, ""min_5depth_lots_each_side"": 23.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2517130471262697, ""trade_quality_min"": 30.434142752019877}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -3.6 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251010_3_FINNIFTY_PE,2026-08-25T04:40:14.798375+00:00,FINNIFTY,2026-08-25,26150.0,PE,62.2,61.9,62.5,12.440000000000001,2.0,40.22695687967825,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9649275634243304, ""excellent_score_min"": 40.22695687967825, ""execution_quality_min"": 92.94441892512623, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.49089298066816, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 17.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.964630225080388, ""trade_quality_min"": 6.153846153848341}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251010_4_FINNIFTY_CE,2026-08-25T04:40:14.798944+00:00,FINNIFTY,2026-08-25,26100.0,CE,72.75,72.4,73.1,14.55,2.0,40.068897212040895,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 40.068897212040895, ""execution_quality_min"": 93.0486008836531, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.20141471164085, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 7.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.9621993127147611, ""trade_quality_min"": 6.153846153848341}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
202608251010_5_FINNIFTY_PE,2026-08-25T04:40:14.799444+00:00,FINNIFTY,2026-08-25,26100.0,PE,39.0,38.8,39.2,7.800000000000001,2.0,39.803975359590524,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9649275634243304, ""excellent_score_min"": 39.803975359590524, ""execution_quality_min"": 90.32967032966971, ""expected_required_ratio_min"": 1.7827861602691608, ""final_confidence_min"": 73.18320067297569, ""iv_crush_max"": 29.5, ""market_hostility_max"": 22.863983720532957, ""min_5depth_lots_each_side"": 14.0, ""min_top_book_lots"": 4.0, ""premium_elasticity_min"": 0.0, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.0256410256410402, ""trade_quality_min"": 6.153846153848341}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 1.0 < 65.0; PremiumElasticity hard reject: 0.00 < 1.00; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 52.3 < 80.0,0.0,UNVALIDATED_COST_MODEL,UNAVAILABLE
